,University,Rank,Small,Medium,Large,Public,Private,Liberal Arts,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost,Latitude,Longitude
51,Hamilton College,53.0,True,False,False,False,True,True,70490.0,70490.0,126.0,7.0,True,True,False,42.0,61051.0,9439.0,44810.0,43.050147100000004,-75.40920624756897
52,Wesleyan University,54.0,True,False,False,False,True,True,73000.0,73000.0,364.0,12.0,True,True,False,24.0,64017.0,8983.0,57347.0,41.5559033,-72.65598837715102
53,Lehigh University,55.0,False,True,False,False,True,False,71465.0,71465.0,459.0,9.0,True,True,False,22.0,48706.0,22759.0,60748.0,40.6068028,-75.3782488
54,College of William and Mary,56.0,False,True,False,True,False,False,38889.0,38889.0,381.0,6.0,False,True,True,0.0,0.0,38889.0,38889.0,37.2698853,-76.71525592671914
55,Colgate University,57.0,True,False,False,False,True,True,75000.0,75000.0,276.0,9.0,True,True,False,56.0,61103.0,13897.0,40685.0,42.815403700000005,-75.53772882479016
56,Virginia Tech,58.0,False,False,True,True,False,False,27213.0,27213.0,1824.0,7.0,False,True,True,0.0,0.0,27213.0,27213.0,37.22824465,-80.41934284999999
57,University of Florida,59.0,False,False,True,True,False,False,0.0,0.0,742.0,2.0,False,True,True,0.0,0.0,0.0,0.0,29.635923,-82.37021349645454
58,Boston University,60.0,False,False,True,False,True,False,71618.0,71618.0,3687.0,22.0,False,True,False,6.0,34717.0,36901.0,69490.0,42.351298625,-71.1113176147688
59,University of Richmond,61.0,False,True,False,False,True,True,69750.0,69750.0,295.0,9.0,True,True,False,56.0,44731.0,25019.0,44579.0,37.57586225,-77.54129937158409
60,Smith College,62.0,True,False,False,False,False,True,75229.0,75229.0,344.0,14.0,True,True,False,45.0,59322.0,15907.0,48327.0,42.317918975,-72.6389881737058
61,University of Wisconsin - Madison,63.0,False,False,True,True,False,False,,,3082.0,11.0,False,True,True,0.0,0.0,,,43.0776853,-89.4176223
62,University of Illinois at Urbana-Champaign,64.0,False,False,True,True,False,False,31760.0,31760.0,4854.0,15.0,False,True,False,1.0,7163.0,24597.0,31688.0,40.101976,-88.23131507323531
63,Vassar College,65.0,True,False,False,False,False,True,73000.0,73000.0,208.0,8.0,True,True,False,40.0,63075.0,9925.0,47527.0,41.686521925,-73.89462392510217
64,University of Georgia,66.0,False,False,True,True,False,False,27450.0,27450.0,432.0,2.0,False,True,True,0.0,0.0,27450.0,27450.0,33.9425116,-83.37339522494148
65,Colorado College,67.0,True,False,False,False,False,True,73600.0,73600.0,184.0,9.0,True,True,False,59.0,44485.0,29115.0,47247.0,38.84840575,-104.8251643592215
66,Cooper Union,68.0,True,False,False,False,False,False,,,,,False,True,False,,,,,40.7295282,-73.9905606
67,Grinnell College,69.0,True,False,False,False,False,True,67646.0,67646.0,323.0,19.0,True,True,False,62.0,38487.0,29159.0,43696.0,41.75111985,-92.71984863278584
68,Bucknell University,70.0,False,True,False,False,False,True,75400.0,75400.0,239.0,7.0,True,True,False,54.0,58757.0,16643.0,43932.0,35.512295949999995,-87.3742101
69,Bryn Mawr College,71.0,True,False,False,False,False,True,73990.0,73990.0,291.0,22.0,True,True,False,40.0,55060.0,18930.0,52042.0,40.02813555,-75.31592058518157
70,Kenyon College,72.0,True,False,False,False,False,True,71150.0,71150.0,123.0,7.0,True,True,False,63.0,56791.0,14359.0,35136.0,40.37264735,-82.39428986783508
71,Rensselaer Polytechnic Institute,73.0,False,True,False,False,False,False,67006.0,67006.0,980.0,15.0,False,True,True,0.0,0.0,67006.0,67006.0,42.73280325,-73.67296098476673
72,University of Miami,74.0,False,True,False,False,False,False,70906.0,70906.0,1631.0,16.0,True,True,False,19.0,28679.0,42227.0,65596.0,25.713398499999997,-80.27869157646253
73,University of California - Santa Barbara,75.0,False,False,True,True,False,False,36685.0,36685.0,2743.0,12.0,False,True,False,3.0,22215.0,14470.0,36045.0,34.4132691,-119.84745113175593
74,University of Rochester,76.0,False,True,False,False,False,False,,,,,False,True,False,,,,,43.1302114,-77.62642594716263
75,Southern Methodist University,77.0,False,True,False,False,False,False,76710.0,76710.0,521.0,8.0,False,True,False,47.0,32551.0,44159.0,61465.0,32.841801149999995,-96.78152810147064
76,Brigham Young University,78.0,False,False,True,False,False,False,19236.0,19236.0,1026.0,4.0,True,True,False,52.0,5704.0,13532.0,16289.0,40.2557618,-111.65334882639887
77,Case Western Reserve University,79.0,False,True,False,False,False,False,70118.0,70118.0,693.0,14.0,True,True,False,18.0,31870.0,38248.0,64277.0,41.50138695,-81.60070216159022
