Institution,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost
SUNY Purchase,26982.0,26982.0,105.0,3.0,True,True,False,7.0,2999.0,23983.0,26782.0
U. of Tennesee - Knoxville,32010.0,32010.0,316.0,1.0,True,True,False,25.0,7969.0,24041.0,29993.0
American U.,64769.0,64769.0,641.0,9.0,False,True,False,10.0,40712.0,24057.0,60895.0
Hood C.,58450.0,58450.0,20.0,2.0,True,True,False,80.0,34329.0,24121.0,30987.0
Colorado School of Mines,35503.0,35503.0,266.0,6.0,False,True,False,13.0,11322.0,24181.0,34013.0
U. of North Carolina - Chap. Hill ,24294.0,24294.0,656.0,4.0,False,True,True,0.0,0.0,24294.0,24294.0
Emory U./Oxford C.,70000.0,70000.0,1118.0,16.0,True,True,False,8.0,45671.0,24329.0,66323.0
U. of Illinois - Urbana Champ.,31760.0,31760.0,4854.0,15.0,False,True,False,1.0,7163.0,24597.0,31688.0
U. of Cal. - Davis,35752.0,35752.0,5257.0,18.0,True,True,False,4.0,11056.0,24696.0,35363.0
U. of North Carolina - Charlotte ,24729.0,24729.0,594.0,3.0,False,True,True,0.0,0.0,24729.0,24729.0
Franklin & Marshall C.,73170.0,73170.0,405.0,18.0,True,True,False,30.0,48245.0,24925.0,58756.0
U. of Richmond,69750.0,69750.0,295.0,9.0,True,True,False,56.0,44731.0,25019.0,44579.0
U. of Cal. - San Diego,33606.0,33606.0,5628.0,19.0,False,True,False,1.0,8153.0,25453.0,33560.0
Earlham C. ,59600.0,59600.0,224.0,22.0,True,True,False,96.0,34025.0,25575.0,27094.0
Westmont C.,64240.0,64240.0,24.0,2.0,False,True,False,100.0,38581.0,25659.0,25659.0
Colby C.,74100.0,74100.0,198.0,10.0,True,True,False,52.0,48097.0,26003.0,49323.0
Union C. ,73410.0,73410.0,190.0,9.0,True,True,False,50.0,47298.0,26112.0,49761.0
Christopher Newport U.,31738.0,31738.0,17.0,0.0,False,True,False,24.0,5625.0,26113.0,30414.0
Saint Mary's C. of Cal.,69230.0,69230.0,74.0,3.0,False,True,False,93.0,42922.0,26308.0,29208.0
U. of Pennsylvania,78186.0,78186.0,1320.0,13.0,True,True,False,26.0,51724.0,26462.0,64589.0
Augustana C.,54907.0,54907.0,246.0,9.0,True,True,False,78.0,28351.0,26556.0,32664.0
Gustavus Adolphus C.,58640.0,58640.0,90.0,4.0,True,True,False,100.0,31955.0,26685.0,26685.0
U. of Maryland - C. Park,26766.0,26766.0,1433.0,5.0,False,True,True,0.0,0.0,26766.0,26766.0
Gannon U.,50488.0,50488.0,55.0,2.0,False,True,False,100.0,23687.0,26801.0,26801.0
U. of Evansville,53676.0,53676.0,230.0,12.0,False,True,False,74.0,26690.0,26986.0,33949.0
Albion C.,61970.0,61970.0,26.0,2.0,False,True,False,96.0,34947.0,27023.0,28367.0
Yeshiva U.,65325.0,65325.0,151.0,6.0,True,True,False,84.0,38228.0,27097.0,33173.0
Virginia Tech,27213.0,27213.0,1824.0,7.0,False,True,True,0.0,0.0,27213.0,27213.0
C. of St. Scholastica,51866.0,51866.0,57.0,3.0,True,True,False,100.0,24593.0,27273.0,27273.0
Georgia State U.,31332.0,31332.0,709.0,3.0,False,True,False,37.0,4010.0,27322.0,29867.0
Carleton C.,74275.0,74275.0,225.0,11.0,True,True,False,29.0,46915.0,27360.0,60513.0
U. of Georgia,27450.0,27450.0,432.0,2.0,False,True,True,0.0,0.0,27450.0,27450.0
Whitworth C.,61088.0,61088.0,86.0,4.0,True,True,False,100.0,33502.0,27586.0,27586.0
Saint Anselm C.,61850.0,61850.0,16.0,1.0,True,True,False,81.0,34242.0,27608.0,34028.0
U. of Washington - Seattle,27638.0,27638.0,4846.0,16.0,False,True,True,0.0,0.0,27638.0,27638.0
Fairfield U.,65940.0,65940.0,149.0,4.0,True,True,False,74.0,38282.0,27658.0,37421.0
Sewanee - U. of the South,62690.0,62690.0,58.0,3.0,True,True,False,83.0,34949.0,27741.0,33767.0
Macalester C.,71553.0,71553.0,336.0,16.0,True,True,False,74.0,43773.0,27780.0,39375.0
Wartburg C.,55610.0,55610.0,112.0,8.0,True,True,False,97.0,27792.0,27818.0,28562.0
Mercer U. ,54754.0,54754.0,86.0,3.0,False,True,False,57.0,26918.0,27836.0,39417.0
Gallaudet U.,34338.0,34338.0,46.0,4.0,False,True,False,33.0,6361.0,27977.0,32264.0
St. Mary's C. of Maryland,30378.0,30378.0,7.0,1.0,False,True,False,43.0,2333.0,28045.0,29378.0
Lewis & Clark C.,66526.0,66526.0,108.0,5.0,True,True,False,89.0,38391.0,28135.0,32401.0
