,University,Cluster,Rank,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost
53,University of North Carolina at Chapel Hill,1,55,EASY_FOOD,COFFEE,COMMON_RESTAURANT,GYM,THEATER,VENUE,HISTORIC,SQUARE,BOOKSTORE,BEAUTY,24294.0,24294.0,656.0,4.0,False,True,True,0.0,0.0,24294.0,24294.0
54,University of Notre Dame,2,56,EASY_FOOD,COMMON_RESTAURANT,ART,BREAKFAST,COFFEE,MUSEUM,Tea Room,RESTAURANT,NOVEL_RESTAURANT,BOOKSTORE,74193.0,74193.0,541.0,6.0,True,True,False,43.0,51006.0,23187.0,52414.0
55,University of Pennsylvania,5,57,EASY_FOOD,COMMON_RESTAURANT,COFFEE,SQUARE,RESTAURANT,BREAKFAST,SWEETS,SELF_CARE,BOOKSTORE,ART,78186.0,78186.0,1320.0,13.0,True,True,False,26.0,51724.0,26462.0,64589.0
56,University of Richmond,2,58,COFFEE,VENUE,ART,MUSEUM,PUB,GYM,CONVENIENCE,Smoke Shop,Student Center,Tea Room,69750.0,69750.0,295.0,9.0,True,True,False,56.0,44731.0,25019.0,44579.0
57,University of Rochester,1,59,COFFEE,EASY_FOOD,SQUARE,GYM,CONVENIENCE,Park,Student Center,THEATER,COMMON_RESTAURANT,BOOKSTORE,,,,,False,True,False,,,,
58,University of Southern California,5,60,MUSEUM,EASY_FOOD,COMMON_RESTAURANT,COFFEE,THEATER,RESTAURANT,NOVEL_RESTAURANT,STADIUM,GROCERY,SWEETS,73270.0,73270.0,2491.0,13.0,False,True,False,21.0,18069.0,55201.0,69433.0
59,University of Texas - Austin,1,61,COFFEE,GYM,EASY_FOOD,ART,MUSEUM,VENUE,COMMON_RESTAURANT,THEATER,STADIUM,SQUARE,26506.0,26506.0,2160.0,6.0,True,True,False,25.0,8028.0,18478.0,24477.0
60,University of Virginia,2,62,COMMON_RESTAURANT,EASY_FOOD,BREAKFAST,CONVENIENCE,COFFEE,RESTAURANT,GYM,MUSEUM,PUB,ART,33493.0,33493.0,698.0,4.0,False,True,False,0.0,0.0,33493.0,33493.0
61,University of Wisconsin - Madison,2,63,BEAUTY,COFFEE,GYM,BOOKSTORE,THEATER,RESTAURANT,NOVEL_RESTAURANT,COMMON_RESTAURANT,SELF_CARE,STADIUM,,,3082.0,11.0,False,True,True,0.0,0.0,,
62,Vassar College,2,64,ART,EASY_FOOD,PUB,TRAIL,MUSEUM,FANCY_FOOD,GYM,Student Center,Smoke Shop,THEATER,73000.0,73000.0,208.0,8.0,True,True,False,40.0,63075.0,9925.0,47527.0
63,Virginia Tech,5,65,COMMON_RESTAURANT,EASY_FOOD,PUB,COFFEE,BREAKFAST,RESTAURANT,CONVENIENCE,BOOKSTORE,SWEETS,NOVEL_RESTAURANT,27213.0,27213.0,1824.0,7.0,False,True,True,0.0,0.0,27213.0,27213.0
64,Wake Forest University,2,66,COFFEE,EASY_FOOD,Student Center,MUSEUM,BREAKFAST,CONVENIENCE,COMMON_RESTAURANT,RESTAURANT,NOVEL_RESTAURANT,BOOKSTORE,68900.0,68900.0,521.0,10.0,False,True,False,15.0,14280.0,54620.0,66762.0
65,Washington University in St. Louis,2,67,VENUE,COMMON_RESTAURANT,BREAKFAST,COFFEE,EASY_FOOD,THEATER,BOOKSTORE,GYM,RESTAURANT,NOVEL_RESTAURANT,76910.0,76910.0,551.0,8.0,True,True,False,12.0,47748.0,29162.0,71191.0
66,Wellesley College,2,68,COMMON_RESTAURANT,Clothing Store,FANCY_FOOD,PUB,BOOKSTORE,TRAIL,MUSEUM,GYM,ART,EASY_FOOD,74948.0,74948.0,324.0,14.0,True,True,False,27.0,64514.0,10434.0,57227.0
67,Wesleyan University,2,69,COFFEE,EASY_FOOD,RESTAURANT,COMMON_RESTAURANT,GYM,BREAKFAST,CONVENIENCE,NOVEL_RESTAURANT,THEATER,MUSEUM,73000.0,73000.0,364.0,12.0,True,True,False,24.0,64017.0,8983.0,57347.0
68,Yale University,5,70,COMMON_RESTAURANT,EASY_FOOD,RESTAURANT,SWEETS,COFFEE,BREAKFAST,THEATER,MUSEUM,ART,NOVEL_RESTAURANT,76490.0,76490.0,646.0,11.0,True,True,False,57.0,62089.0,14401.0,41120.0
